"sample_size","rho","method","variable","false_positive_rate","type_I_error","Method","Scenario"
250,0,"Elastic net: lambda.min","X12",0.4929,0.0535,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X13",0.4962,0.0569,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X14",0.4912,0.0509,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X15",0.4835,0.052,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X16",0.4943,0.0533,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X17",0.4953,0.0522,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X18",0.5014,0.054,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X19",0.4931,0.0549,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X20",0.4963,0.0519,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X6",0.4921,0.0539,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X7",0.4864,0.0508,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X8",0.4883,0.0521,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X9",0.4846,0.0511,"EN min","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X10",0.0379,0.0272,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X11",0.0392,0.0274,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X12",0.0391,0.0284,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X13",0.0405,0.0302,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X14",0.0369,0.0273,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X15",0.0381,0.0298,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X16",0.0414,0.0308,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X17",0.0355,0.0266,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X18",0.037,0.0276,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X19",0.0402,0.0284,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X20",0.0382,0.0285,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X6",0.0387,0.0268,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X7",0.0355,0.0254,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X8",0.0365,0.0266,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.1se","X9",0.039,0.0275,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X10",0.3992,0.0514,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X11",0.4038,0.0578,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X12",0.3997,0.0538,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X13",0.4087,0.0576,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X14",0.398,0.051,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X15",0.3937,0.053,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X16",0.4006,0.0527,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X17",0.4027,0.0522,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X18",0.4046,0.0547,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X19",0.3998,0.0552,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X20",0.4023,0.0519,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X6",0.4053,0.0527,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X7",0.3929,0.0507,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X8",0.3914,0.0519,"LASSO min","N = 250, rho = 0"
250,0,"LASSO: lambda.min","X9",0.3923,0.0521,"LASSO min","N = 250, rho = 0"
250,0.35,"Backward AIC","X10",0.1762,0.0602,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X11",0.1842,0.0644,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X12",0.1771,0.0607,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X13",0.1764,0.0605,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X14",0.18,0.0579,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X15",0.1801,0.0583,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X16",0.1802,0.062,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X17",0.1796,0.0562,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X18",0.1794,0.0617,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X19",0.1778,0.0629,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X20",0.1799,0.0601,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X6",0.1799,0.0626,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X7",0.1736,0.0593,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X8",0.1762,0.0581,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward AIC","X9",0.1725,0.0584,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X10",0.0242,0.0242,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X11",0.0257,0.0257,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X12",0.0246,0.0246,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X13",0.0216,0.0216,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X14",0.0217,0.0217,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X15",0.0228,0.0228,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X16",0.024,0.024,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X17",0.02,0.02,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X18",0.0247,0.0247,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X19",0.0257,0.0257,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X20",0.0244,0.0244,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X6",0.0268,0.0268,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X7",0.0225,0.0225,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X8",0.0228,0.0228,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC","X9",0.0231,0.0231,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X10",0.3062,0.06,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X11",0.3186,0.0627,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X12",0.3166,0.06,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X13",0.3076,0.0603,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X14",0.3184,0.0569,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X15",0.3146,0.0584,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X16",0.3135,0.0605,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X17",0.3173,0.0571,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X18",0.3179,0.0593,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X19",0.3169,0.0642,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X20",0.3127,0.059,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X6",0.316,0.063,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X7",0.3044,0.0598,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X8",0.3078,0.0591,"Backward","N = 250, rho = 0.35"
250,0.35,"Backward p-value","X9",0.3077,0.0547,"Backward","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X10",0.2449,0.0089,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X11",0.2571,0.0114,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X12",0.2451,0.0088,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X13",0.2439,0.0095,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X14",0.2445,0.0079,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X15",0.2455,0.0097,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X16",0.2454,0.0091,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X17",0.2443,0.0076,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X18",0.2472,0.0101,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X19",0.2524,0.0104,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X20",0.2468,0.0108,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X6",0.2485,0.0108,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X7",0.2449,0.0085,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X8",0.2465,0.0083,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X9",0.2444,0.0098,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X10",0.4199,0.0456,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X11",0.4247,0.0481,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X12",0.4238,0.0482,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X13",0.4209,0.046,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X14",0.4187,0.0456,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X15",0.4159,0.0459,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X16",0.42,0.0484,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X17",0.4171,0.0448,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X18",0.4171,0.0497,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X19",0.4214,0.0514,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X20",0.4173,0.0475,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X6",0.4235,0.0508,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X7",0.4193,0.0485,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X8",0.4251,0.046,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X9",0.416,0.0437,"EN min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X10",0.1167,0.0129,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X11",0.1278,0.0152,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X12",0.118,0.0117,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X13",0.1175,0.0124,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X14",0.1196,0.0111,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X15",0.1196,0.013,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X16",0.1184,0.0125,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X17",0.118,0.0118,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X18",0.123,0.0133,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X19",0.1237,0.0134,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X20",0.118,0.0141,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X6",0.12,0.0141,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X7",0.117,0.0127,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X8",0.1179,0.0117,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X9",0.1177,0.0137,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X10",0.3505,0.0422,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X11",0.357,0.0442,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X12",0.353,0.0445,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X13",0.3537,0.0433,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X14",0.3501,0.0415,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X15",0.35,0.041,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X16",0.3495,0.0427,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X17",0.345,0.0411,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X18",0.3511,0.044,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X19",0.3569,0.0472,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X20",0.3469,0.0428,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X6",0.3556,0.0449,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X7",0.3469,0.0426,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X8",0.3506,0.0414,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X9",0.3416,0.0397,"LASSO min","N = 250, rho = 0.35"
250,0.7,"Backward AIC","X10",0.1827,0.0661,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X11",0.1843,0.0663,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X12",0.1836,0.0609,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X13",0.1766,0.0647,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X14",0.1788,0.0676,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X15",0.1852,0.0651,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X16",0.1889,0.0677,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X17",0.1794,0.0657,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X18",0.1827,0.065,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X19",0.1889,0.0647,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X20",0.1792,0.0628,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X6",0.1903,0.0669,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X7",0.1828,0.0628,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X8",0.1809,0.0678,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X9",0.179,0.06,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X10",0.0269,0.0269,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X11",0.0284,0.0284,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X12",0.0269,0.0269,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X13",0.0272,0.0272,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X14",0.0299,0.0299,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X15",0.0288,0.0288,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X16",0.0284,0.0284,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X17",0.0258,0.0258,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X18",0.0297,0.0297,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X19",0.0278,0.0278,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X20",0.0246,0.0246,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X6",0.0293,0.0293,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X7",0.0276,0.0276,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X8",0.0278,0.0278,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X9",0.0249,0.0249,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X10",0.3216,0.0642,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X11",0.3175,0.0625,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X12",0.3136,0.058,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X13",0.3112,0.0621,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X14",0.3113,0.0628,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X15",0.3213,0.0632,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X16",0.3262,0.0646,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X17",0.3165,0.0648,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X18",0.3145,0.0635,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X19",0.3207,0.0632,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X20",0.3124,0.0603,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X6",0.3275,0.0641,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X7",0.317,0.0606,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X8",0.3159,0.0647,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X9",0.3106,0.058,"Backward","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X10",0.4116,0.0064,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X11",0.4146,0.0067,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X12",0.4013,0.0072,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X13",0.4121,0.0071,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X14",0.4114,0.0079,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X15",0.41,0.0068,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X16",0.424,0.0073,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X17",0.4117,0.0059,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X18",0.4059,0.0092,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X19",0.4124,0.0072,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X20",0.4197,0.0057,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X6",0.4163,0.0067,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X7",0.4127,0.0064,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X8",0.4206,0.0074,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X9",0.4175,0.0073,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X10",0.4079,0.0382,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X11",0.4055,0.039,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X12",0.3943,0.0372,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X13",0.4028,0.038,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X14",0.4057,0.0406,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X15",0.406,0.0412,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X16",0.4137,0.0405,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X17",0.4058,0.0397,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X18",0.4028,0.0401,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X19",0.4069,0.0386,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X20",0.4134,0.0376,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X6",0.4064,0.0378,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X7",0.4049,0.039,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X8",0.4088,0.0402,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X9",0.4064,0.0357,"EN min","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se","X10",0.1981,0.0083,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se","X11",0.1952,0.0083,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se","X12",0.1952,0.0087,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se","X13",0.1922,0.0085,"LASSO 1se","N = 250, rho = 0.7"
